epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7056,1.44498,2.09759,1.36389,0.72906,0.56059,0.68117,0.35823,1.37071,1.83154,1.34142,0.000659864,0.000659864,0.000659864
2,23.2308,1.41954,1.59658,1.30863,0.84158,0.55625,0.67267,0.35672,1.40416,1.74087,1.37341,0.00126087,0.00126087,0.00126087
3,33.3108,1.36915,1.43964,1.31831,0.71173,0.62917,0.68336,0.31447,1.49058,1.49498,1.42496,0.00179587,0.00179587,0.00179587
4,43.1807,1.35184,1.31843,1.28268,0.7861,0.71458,0.79228,0.42157,1.32541,1.19018,1.30843,0.001703,0.001703,0.001703
5,53.0085,1.36093,1.23513,1.28712,0.85486,0.73622,0.84018,0.4613,1.32041,0.97588,1.29198,0.001604,0.001604,0.001604
6,63.1623,1.2802,1.1163,1.25141,0.84408,0.75625,0.83877,0.45082,1.32034,0.92022,1.31357,0.001505,0.001505,0.001505
7,73.6515,1.26475,1.0584,1.23234,0.80469,0.73125,0.81236,0.50066,1.16715,0.8313,1.20422,0.001406,0.001406,0.001406
8,83.9825,1.21243,0.98958,1.21837,0.87129,0.74792,0.84143,0.50842,1.17424,0.79587,1.20152,0.001307,0.001307,0.001307
9,94.0599,1.1947,0.91752,1.19567,0.85216,0.74455,0.8394,0.51079,1.14203,0.75609,1.17891,0.001208,0.001208,0.001208
10,104.183,1.17195,0.91231,1.19664,0.88096,0.72708,0.85092,0.50652,1.18326,0.76549,1.19064,0.001109,0.001109,0.001109
11,145.623,1.06824,0.82805,1.11972,0.8369,0.775,0.8524,0.50265,1.19698,0.80646,1.20741,0.00101,0.00101,0.00101
12,158.888,1.06731,0.79633,1.14023,0.86305,0.78125,0.87524,0.53056,1.13769,0.73181,1.17113,0.000911,0.000911,0.000911
13,172.22,1.04615,0.77023,1.12234,0.85232,0.75749,0.85848,0.54932,1.05692,0.72488,1.12863,0.000812,0.000812,0.000812
14,186.015,1.01885,0.74105,1.09891,0.86835,0.74375,0.84437,0.54067,1.03689,0.69793,1.11179,0.000713,0.000713,0.000713
15,196.645,0.99588,0.69927,1.09066,0.86317,0.78542,0.88463,0.56662,1.01485,0.6782,1.0983,0.000614,0.000614,0.000614
16,207.219,0.96007,0.68478,1.07477,0.88962,0.76458,0.88554,0.57663,1.01279,0.66582,1.10158,0.000515,0.000515,0.000515
17,217.774,0.96009,0.65169,1.06461,0.89241,0.77763,0.87815,0.56107,1.06707,0.65285,1.13129,0.000416,0.000416,0.000416
18,228.169,0.91523,0.61506,1.04863,0.87794,0.77921,0.88379,0.57713,0.97594,0.63863,1.08454,0.000317,0.000317,0.000317
19,238.951,0.87274,0.59724,1.03205,0.90957,0.77708,0.88647,0.57788,0.95779,0.63945,1.07958,0.000218,0.000218,0.000218
20,249.54,0.87423,0.58885,1.02642,0.90116,0.77917,0.89417,0.58748,0.95297,0.60387,1.06973,0.000119,0.000119,0.000119
