epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.5792,1.49619,2.01499,1.50332,0.60277,0.54297,0.57264,0.26342,1.77171,1.97281,1.98189,0.000475042,0.000475042,0.000475042
2,80.5161,1.55046,1.71217,1.54988,0.55909,0.43329,0.44745,0.2154,1.76139,2.55059,1.96365,0.000935678,0.000935678,0.000935678
3,116.934,1.56789,1.6304,1.54956,0.71131,0.57491,0.65026,0.34427,1.60047,1.59741,1.71288,0.00138059,0.00138059,0.00138059
4,154.085,1.5438,1.53734,1.54387,0.8031,0.65884,0.74404,0.43841,1.46963,1.36647,1.6215,0.00135826,0.00135826,0.00135826
5,190.842,1.5004,1.42367,1.50479,0.76056,0.69063,0.75367,0.42032,1.51271,1.31928,1.62359,0.00133469,0.00133469,0.00133469
6,227.393,1.46298,1.37786,1.47904,0.84154,0.70243,0.79715,0.48061,1.39708,1.19823,1.55168,0.00131111,0.00131111,0.00131111
7,264.032,1.43738,1.3054,1.46196,0.84709,0.71833,0.80512,0.49231,1.38561,1.16223,1.53863,0.00128753,0.00128753,0.00128753
8,300.648,1.40127,1.26333,1.4377,0.84249,0.75196,0.83043,0.50607,1.36459,1.07897,1.51745,0.00126395,0.00126395,0.00126395
9,337.282,1.39175,1.23745,1.43006,0.83706,0.76433,0.83175,0.51293,1.31464,1.07847,1.47318,0.00124037,0.00124037,0.00124037
10,373.859,1.35373,1.18317,1.41465,0.8731,0.7657,0.84338,0.54165,1.29097,0.99948,1.46852,0.00121679,0.00121679,0.00121679
11,411.463,1.32449,1.14392,1.38033,0.87625,0.76986,0.85507,0.55419,1.25624,0.95282,1.4187,0.00119322,0.00119322,0.00119322
12,450.343,1.3198,1.11816,1.37654,0.87069,0.78696,0.8532,0.55479,1.23007,0.92698,1.41514,0.00116964,0.00116964,0.00116964
13,488.928,1.30843,1.10046,1.37106,0.89445,0.78224,0.86605,0.57557,1.18665,0.89922,1.38373,0.00114606,0.00114606,0.00114606
14,527.644,1.28825,1.0867,1.35911,0.90208,0.80245,0.86823,0.58214,1.20568,0.87301,1.39981,0.00112248,0.00112248,0.00112248
15,566.139,1.27156,1.0684,1.35066,0.89495,0.827,0.88015,0.59639,1.16635,0.82897,1.35586,0.0010989,0.0010989,0.0010989
16,604.568,1.26122,1.04243,1.33923,0.88109,0.79781,0.87086,0.58746,1.17356,0.88774,1.35232,0.00107532,0.00107532,0.00107532
17,641.717,1.23335,1.0161,1.31891,0.89599,0.81398,0.87706,0.59339,1.17178,0.84648,1.36426,0.00105174,0.00105174,0.00105174
18,678.857,1.22817,0.99113,1.3249,0.89796,0.80728,0.87084,0.59248,1.15775,0.83333,1.34864,0.00102817,0.00102817,0.00102817
