epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.2742,1.46255,2.53539,1.69563,0.34422,0.35516,0.24666,0.12625,2.08105,4.20563,2.34923,0.000553839,0.000553839,0.000553839
2,65.8364,1.52921,2.12598,1.73762,0.35708,0.50832,0.36286,0.16748,1.81338,5.37165,2.11815,0.00108754,0.00108754,0.00108754
3,95.731,1.49442,1.8515,1.68523,0.3963,0.43106,0.34729,0.13097,1.97069,2.67011,2.27149,0.00159923,0.00159923,0.00159923
4,126.356,1.49786,1.80171,1.69484,0.6164,0.59689,0.60569,0.29207,1.73736,2.19552,1.91742,0.00156798,0.00156798,0.00156798
5,157.087,1.41089,1.66868,1.61904,0.6582,0.58024,0.62752,0.30711,1.642,1.94126,1.92493,0.00153497,0.00153497,0.00153497
6,186.831,1.36439,1.57608,1.59312,0.6922,0.68917,0.69029,0.36016,1.66364,2.14564,1.87202,0.00150197,0.00150197,0.00150197
7,216.72,1.3677,1.53681,1.58205,0.76075,0.6819,0.72621,0.39712,1.61826,1.42969,1.75056,0.00146896,0.00146896,0.00146896
8,246.727,1.30274,1.44475,1.54875,0.70402,0.70089,0.72795,0.38636,1.59076,1.53752,1.78523,0.00143595,0.00143595,0.00143595
9,276.408,1.26264,1.37038,1.49229,0.73382,0.73973,0.74882,0.41176,1.54766,1.5364,1.75128,0.00140295,0.00140295,0.00140295
10,306.935,1.25086,1.31687,1.48589,0.71319,0.75317,0.72821,0.41905,1.5382,1.31273,1.75585,0.00136994,0.00136994,0.00136994
11,337.192,1.22544,1.30628,1.4793,0.70627,0.68494,0.74378,0.42471,1.53138,1.55751,1.71633,0.00133693,0.00133693,0.00133693
12,367.429,1.19245,1.2639,1.44362,0.75557,0.75852,0.74751,0.43766,1.50363,1.28768,1.72249,0.00130393,0.00130393,0.00130393
13,397.887,1.16965,1.20322,1.42169,0.81258,0.77552,0.79093,0.45097,1.48455,1.25416,1.67923,0.00127092,0.00127092,0.00127092
14,428.317,1.15591,1.2108,1.42193,0.8033,0.74519,0.78473,0.43338,1.50545,1.32955,1.67302,0.00123791,0.00123791,0.00123791
15,458.719,1.12465,1.17384,1.39641,0.66718,0.78666,0.71551,0.39849,1.54862,1.33072,1.77108,0.00120491,0.00120491,0.00120491
16,489.002,1.13513,1.15235,1.40518,0.64539,0.76563,0.67977,0.40411,1.5421,1.52792,1.77334,0.0011719,0.0011719,0.0011719
17,519.401,1.12513,1.14977,1.40283,0.68744,0.78989,0.77255,0.44805,1.42284,1.20691,1.63649,0.00113889,0.00113889,0.00113889
18,549.797,1.10579,1.12886,1.38785,0.77484,0.78777,0.81487,0.4634,1.50653,1.14511,1.68663,0.00110589,0.00110589,0.00110589
19,581.8,1.09792,1.0868,1.3739,0.76543,0.76797,0.7926,0.4681,1.45191,1.15734,1.67101,0.00107288,0.00107288,0.00107288
